SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-23-2020,Single Family Residential,8107 31st Ave NE,Seattle,WA,98115,1165000,4,2.5,Wedgwood,2760,6000,1942,42,422,,Sold,,,http://www.redfin.com/WA/Seattle/8107-31st-Ave-NE-98115/home/316072,NWMLS,1576158,N,Y,47.6876414,-122.2953036
MLS Listing,,Single Family Residential,6311 21st Ave NE,Seattle,WA,98115,1595000,4,2.25,Ravenna,3530,5700,1912,2,452,,Active,,,http://www.redfin.com/WA/Seattle/6311-21st-Ave-NE-98115/home/308345,NWMLS,1596204,N,Y,47.6751809,-122.3057668
PAST SALE,December-30-2015,Single Family Residential,2115 NE 80th St,Seattle,WA,98115,1200000,4,2.25,Ravenna,2400,4815,1930,7,500,,Pending,,,http://www.redfin.com/WA/Seattle/2115-NE-80th-St-98115/home/309670,NWMLS,1601546,N,Y,47.686222,-122.3047163
MLS Listing,,Single Family Residential,853 NE 100th St,Seattle,WA,98115,1050000,3,2.5,Maple Leaf,3250,5007,2005,7,323,,Active,,,http://www.redfin.com/WA/Seattle/853-NE-100th-St-98125/home/2075951,NWMLS,1606299,N,Y,47.7011329,-122.3181899
PAST SALE,June-25-1997,Single Family Residential,8218 4th Ave NE,Seattle,WA,98115,1050000,3,1.5,Maple Leaf,2250,5084,1931,13,467,,Pending,,,http://www.redfin.com/WA/Seattle/8218-4th-Ave-NE-98115/home/108290,NWMLS,1605231,N,Y,47.6888723,-122.3240362
PAST SALE,May-12-2004,Single Family Residential,3855 NE 98th St,Seattle,WA,98115,1100000,4,3,Wedgwood,2500,8882,1958,16,440,,Pending,,,http://www.redfin.com/WA/Seattle/3855-NE-98th-St-98115/home/113013,NWMLS,1597947,N,Y,47.6999508,-122.2856071
PAST SALE,October-25-2004,Single Family Residential,8825 17th Ave NE,Seattle,WA,98115,1000000,5,2.75,Maple Leaf,2550,5376,1928,16,392,,Pending,,,http://www.redfin.com/WA/Seattle/8825-17th-Ave-NE-98115/home/107809,NWMLS,1602658,N,Y,47.6928863,-122.3096904
PAST SALE,,Single Family Residential,7733 29th Ave NE,Seattle,WA,98115,1148000,3,2.5,Wedgwood,2850,7015,1959,21,403,,Pending,,,http://www.redfin.com/WA/Seattle/7733-29th-Ave-NE-98115/home/317380,NWMLS,1597539,N,Y,47.6858826,-122.296931
PAST SALE,,Single Family Residential,8204 A 23rd Ave NE,Seattle,WA,98115,1529000,4,2.5,Ravenna,2882,4771,2020,23,531,,Pending,,,http://www.redfin.com/WA/Seattle/8204-23rd-Ave-NE-98115/home/309998,NWMLS,1600005,N,Y,47.6887404,-122.3024698
PAST SALE,August-13-2009,Single Family Residential,9005 42nd Ave NE,Seattle,WA,98115,1595000,4,2.75,Wedgwood,4180,74052,1958,27,382,,Pending,,,http://www.redfin.com/WA/Seattle/9005-42nd-Ave-NE-98115/home/315660,NWMLS,1596598,N,Y,47.6934168,-122.2839654
PAST SALE,April-27-2018,Single Family Residential,6211 51st Ave NE,Seattle,WA,98115,1125000,3,1.75,Hawthorne Hills,2420,7150,1950,28,465,,Pending,,,http://www.redfin.com/WA/Seattle/6211-51st-Ave-NE-98115/home/320188,NWMLS,1586540,N,Y,47.6742965,-122.2730264
MLS Listing,,Single Family Residential,9811 8th Ave NE,Seattle,WA,98115,1248000,3,3.5,Maple Leaf,2852,3291,2016,29,438,,Active,,,http://www.redfin.com/WA/Seattle/9811-8th-Ave-NE-98115/home/106723662,NWMLS,1579671,N,Y,47.700694,-122.3206743
MLS Listing,,Single Family Residential,8246 17th Ave NE,Seattle,WA,98115,1700000,5,3.75,Maple Leaf,3401,5100,2019,30,500,,Active,,,http://www.redfin.com/WA/Seattle/8246-17th-Ave-NE-98115/home/107492,NWMLS,1597341,N,Y,47.6898617,-122.3098057
MLS Listing,,Single Family Residential,7531 19th Ave NE,Seattle,WA,98115,1450000,4,3,Roosevelt,2570,3515,1928,30,564,,Active,,,http://www.redfin.com/WA/Seattle/7531-19th-Ave-NE-98115/home/310663,NWMLS,1582878,N,Y,47.6840096,-122.3080745
MLS Listing,,Single Family Residential,6256 31st Ave NE,Seattle,WA,98115,1148000,4,3.25,Bryant,3320,5000,1921,36,346,,Active,,,http://www.redfin.com/WA/Seattle/6256-31st-Ave-NE-98115/home/312914,NWMLS,1594675,N,Y,47.67564,-122.2939983
MLS Listing,,Single Family Residential,6535 49th Ave NE,Seattle,WA,98115,1350000,4,2.5,View Ridge,3890,6129,1948,40,347,,Contingent,,,http://www.redfin.com/WA/Seattle/6535-49th-Ave-NE-98115/home/321976,NWMLS,1592344,N,Y,47.6767973,-122.2759778
MLS Listing,,Single Family Residential,7021 20th Ave NE,Seattle,WA,98115,1395000,6,3.5,Ravenna,4600,7140,1946,41,303,,Active,,,http://www.redfin.com/WA/Seattle/7021-20th-Ave-NE-98115/home/311257,NWMLS,1593105,N,Y,47.6801574,-122.3069566
MLS Listing,,Single Family Residential,9412 12th Ave NE,Seattle,WA,98115,1200000,5,3.5,Maple Leaf,3360,5413,1926,46,357,,Active,,,http://www.redfin.com/WA/Seattle/9412-12th-Ave-NE-98115/home/109177,NWMLS,1591569,N,Y,47.6971061,-122.3145364
PAST SALE,May-13-2010,Single Family Residential,2806 NE 77th St,Seattle,WA,98115,1199950,3,2.5,Wedgwood,3170,8303,1964,50,379,,Pending,,,http://www.redfin.com/WA/Seattle/2806-NE-77th-St-98115/home/318629,NWMLS,1590060,N,Y,47.6851168,-122.2969194
MLS Listing,,Single Family Residential,6046 53rd Ave NE,Seattle,WA,98115,1250000,4,1.75,Hawthorne Hills,2660,6000,1950,58,470,,Active,,,http://www.redfin.com/WA/Seattle/6046-53rd-Ave-NE-98115/home/320551,NWMLS,1585019,N,Y,47.6736766,-122.2700896
PAST SALE,July-8-1993,Single Family Residential,6017 Oberlin Ave NE,Seattle,WA,98115,1365000,3,3.5,Hawthorne Hills,2760,5000,2012,71,495,,Pending,,,http://www.redfin.com/WA/Seattle/6017-Oberlin-Ave-NE-98115/home/320672,NWMLS,1582399,N,Y,47.6728102,-122.2788516
PAST SALE,July-2-2015,Single Family Residential,6412 NE 60th St,Seattle,WA,98115,1100000,4,2,Windermere,2210,6206,1950,85,498,,Pending,,,http://www.redfin.com/WA/Seattle/6412-NE-60th-St-98115/home/120704,NWMLS,1575407,N,Y,47.672283,-122.2589711
MLS Listing,,Single Family Residential,6015 53rd Ave NE,Seattle,WA,98115,1765000,4,3.25,Hawthorne Hills,3492,5003,2019,112,505,,Active,,,http://www.redfin.com/WA/Seattle/6015-53rd-Ave-NE-98115/home/169634118,NWMLS,1564506,N,Y,47.6727256,-122.2707813
PAST SALE,May-5-2020,Single Family Residential,6040 27th Ave NE,Seattle,WA,98115,1040000,3,1.75,Bryant,2106,3300,1926,30,494,,Sold,,,http://www.redfin.com/WA/Seattle/6040-27th-Ave-NE-98115/home/312484,NWMLS,1587483,N,Y,47.6733369,-122.2982943
PAST SALE,March-13-2020,Single Family Residential,6013 53rd Ave NE,Seattle,WA,98115,1700000,5,3.25,Hawthorne Hills,3002,5000,2020,83,566,,Sold,,,http://www.redfin.com/WA/Seattle/6013-53rd-Ave-NE-98115/home/22814264,NWMLS,1557598,N,Y,47.672497,-122.270852
PAST SALE,March-12-2020,Single Family Residential,7726 43rd Ave NE,Seattle,WA,98115,1760000,5,3.5,View Ridge,3565,6000,2005,84,494,,Sold,,,http://www.redfin.com/WA/Seattle/7726-43rd-Ave-NE-98115/home/315027,NWMLS,1562643,N,Y,47.6856672,-122.2818185
PAST SALE,May-15-2020,Single Family Residential,3220 NE 94th St,Seattle,WA,98115,1835000,5,2.5,Wedgwood,3620,7052,2018,20,507,,Sold,,,http://www.redfin.com/WA/Seattle/3220-NE-94th-St-98115/home/317486,NWMLS,1582697,N,Y,47.6967671,-122.2921829
PAST SALE,April-24-2020,Single Family Residential,1523 NE 90th St,Seattle,WA,98115,1150000,3,2,Maple Leaf,2500,9570,1951,41,460,,Sold,,,http://www.redfin.com/WA/Seattle/1523-NE-90th-St-98115/home/106958,NWMLS,1576822,N,Y,47.6937998,-122.3111501
PAST SALE,April-24-2020,Single Family Residential,4118 NE 96th St,Seattle,WA,98115,1250000,5,3,Meadowbrook,3760,11132,1966,41,332,,Sold,,,http://www.redfin.com/WA/Seattle/4118-NE-96th-St-98115/home/113621,NWMLS,1573490,N,Y,47.6988898,-122.2835135
